medcodeid	snomedctconceptid	term	ethnic_20grp	ethnic_6grp	F	G	Updatedaccordingtothe2021ce	I
456652017	312861003	Ethnic group not recorded	20	6				
459782019	315279003	Other black ethnic group	8	2				
459784018	315281001	Other Asian ethnic group	5	1				
459786016	315283003	Irish traveller	15	4				
459785017	372148003	Other ethnic group	19	5				
286007012	186036009	New Zealand European	17	4				
286008019	186036009	Pakeha	17	4				
286009010	186037000	Other European in New Zealand	17	4				
286012013	186039002	New Zealand Maori	19	5				
507015012	86275006	Samoan	19	5				
286013015	186040000	Cook Island Maori	19	5				
504723011	81560001	Tongan	19	5				
286014014	186041001	Niuean	19	5				
286015010	186042008	Tokelauan	19	5				
501416013	69865008	Fijian	19	5				
286017019	372148003	Other Pacific ethnic group	19	5				
286018012	186044009	South East Asian	5	1				
550541000006110	33897005	Chinese	2	1				
781081000006113	414481008	Indian	3	1				
286020010	315280000	Other Asian	5	1				
286021014	186035008	Other New Zealand ethnic group	5	1				
286022019	186035008	New Zealand ethnic group NOS	17	4				
850671000006119	40182006	Traveller - gypsy	15	4				
523591000000116	296841000000102	Yemeni	18	5				
1158211000000111	445343003	Romanian	17	4				
1158301000000115	29343004	Bulgarian	17	4				
1160331000000119	286009	Czech	17	4				
1551471000000116	36329002	Slovak	17	4				
133078012	80208004	Portuguese	17	4				
1572831000000110	718131000000106	Nepali	5	1				
158341000000117	92391000000108	British or mixed British - ethnic category 2001 census	13	4				
1063981000000117	494131000000105	White British - ethnic category 2001 census	13	4				
141301000000110	92401000000106	Irish - ethnic category 2001 census	14	4				
1064041000000111	494161000000100	White Irish - ethnic category 2001 census	14	4				
141311000000112	92411000000108	Other White background - ethnic category 2001 census	17	4				
157281000000117	110761000000106	English - ethnic category 2001 census	13	4				
141431000000111	92541000000108	Scottish - ethnic category 2001 census	13	4				
141441000000119	92551000000106	Welsh - ethnic category 2001 census	13	4				
141461000000118	92571000000102	Cornish - ethnic category 2001 census	13	4				
141451000000116	92561000000109	Northern Irish - ethnic category 2001 census	13	4				
142691000000116	93921000000101	Ulster Scots - ethnic category 2001 census	13	4				
141661000000115	92791000000109	Cypriot (part not stated) - ethnic category 2001 census	17	4				
142701000000116	93931000000104	Greek - ethnic category 2001 census	17	4				
142711000000119	93941000000108	Greek Cypriot - ethnic category 2001 census	17	4				
156921000000110	110401000000103	Turkish - ethnic category 2001 census	17	4				
142721000000113	93951000000106	Turkish Cypriot - ethnic category 2001 census	17	4				
158481000000115	93961000000109	Italian - ethnic category 2001 census	17	4				
138171000000114	88911000000101	Irish Traveller - ethnic category 2001 census	15	4				
138181000000111	88921000000107	Traveller - ethnic category 2001 census	15	4				
138191000000113	88931000000109	Gypsy/Romany - ethnic category 2001 census	15	4				
138201000000110	88941000000100	Polish - ethnic category 2001 census	17	4				
937301000006110	88951000000102	Baltic Estonian/Latvian/Lithuanian - ethn categ 2001 census	17	4				
142741000000118	93981000000100	Kosovan - ethnic category 2001 census	17	4				
138231000000116	88971000000106	Albanian - ethnic category 2001 census	17	4				
142751000000115	93991000000103	Bosnian - ethnic category 2001 census	17	4				
142761000000117	94001000000108	Croatian - ethnic category 2001 census	17	4				
157991000000110	88981000000108	Serbian - ethnic category 2001 census	17	4				
937371000006116	94011000000105	Other republics former Yugoslavia - ethnic categ 2001 census	17	4				
142781000000114	94021000000104	Mixed Irish and other White - ethnic category 2001 census	17	4				
937391000006115	94041000000106	Oth White European/European unsp/Mixed European 2001 census	17	4				
142791000000111	94031000000102	Other mixed White - ethnic category 2001 census	17	4				
937411000006115	94051000000109	Other White or White unspecified ethnic category 2001 census	17	4				
141321000000118	92421000000102	White and Black Caribbean - ethnic category 2001 census	11	3				
141331000000116	92431000000100	White and Black African - ethnic category 2001 census	10	3				
141341000000113	92441000000109	White and Asian - ethnic category 2001 census	9	3				
141351000000111	92451000000107	Other Mixed background - ethnic category 2001 census	12	3				
141471000000113	92581000000100	Black and Asian - ethnic category 2001 census	12	3				
141481000000110	92591000000103	Black and Chinese - ethnic category 2001 census	12	3				
157291000000115	110771000000104	Black and White - ethnic category 2001 census	10	3				
141491000000112	92601000000109	Chinese and White - ethnic category 2001 census	2	1				
158361000000116	92611000000106	Asian and Chinese - ethnic category 2001 census	15	1				
937511000006119	92621000000100	Other Mixed or Mixed unspecified ethnic category 2001 census	12	3				
157271000000119	110751000000108	Indian or British Indian - ethnic category 2001 census	3	1				
141361000000114	92461000000105	Pakistani or British Pakistani - ethnic category 2001 census	4	1				
937541000006115	92471000000103	Bangladeshi or British Bangladeshi - ethn categ 2001 census	1	1				
141381000000117	92481000000101	Other Asian background - ethnic category 2001 census	5	1				
141521000000110	92641000000107	Punjabi - ethnic category 2001 census	3	1				
141531000000112	92651000000105	Kashmiri - ethnic category 2001 census	4	1				
141541000000115	92661000000108	East African Asian - ethnic category 2001 census	5	1				
136081000000111	86461000000107	Sri Lankan - ethnic category 2001 census	5	1				
141551000000117	92671000000101	Tamil - ethnic category 2001 census	5	1				
157301000000116	110781000000102	Sinhalese - ethnic category 2001 census	5	1				
141571000000114	92691000000102	Caribbean Asian - ethnic category 2001 census	12	3				
141561000000119	92681000000104	British Asian - ethnic category 2001 census	5	1				
141511000000116	92631000000103	Mixed Asian - ethnic category 2001 census	9	3				
